,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLE INC                     ,Annual - Income Statement - Company Specific,Fiscal period,Period End Date,Net Sales,Total Revenues,Cost of sales,Gross Profit,Research and development,Purchased in-process research and development,"Selling, general, and administrative",Restructuring Costs,Special charges : Executive bonus,Total Operating Expenses,Operating Income (Loss),"Gains on non-current investments, net",Unrealized loss on convertible securities,"Interest and other income, net",Other income and expense,Income before provision for income taxes,Federal:Current,Federal:Deferred,State:Current,State:Deferred,Foreign:Current,Foreign:Deferred,Provision for income taxes,Income (loss) before accounting change,"Cumulative effect of accounting change, net",Net Income (Loss) Available to Common Shareholders,Earnings per common share before accounting changes: Basic,Net Earnings Per Share (Basic),Earnings per common share before accounting changes: Diluted,Net Earnings Per Share (Diluted),Weighted Average Shares Outstanding (Basic),Weighted Average Shares Outstanding (Diluted),,
,,2019,9/30/19,"260,174.00","260,174.00","161,782.00","98,392.00","16,217.00",--,"18,245.00",--,--,"34,462.00","63,930.00",--,--,--,"1,807.00","65,737.00","6,384.00","-2,939.00",475,-67,"3,962.00","2,666.00","10,481.00",--,--,"55,256.00",--,11.97,--,11.89,"4,617.83","4,648.91",,
,,2018,9/30/18,"265,595.00","265,595.00","163,756.00","101,839.00","14,236.00",--,"16,705.00",--,--,"30,941.00","70,898.00",--,--,--,"2,005.00","72,903.00","41,425.00","-33,819.00",551,48,"3,986.00","1,181.00","13,372.00",--,--,"59,531.00",--,12.01,--,11.91,"4,955.38","5,000.11",,
,,2017,9/30/17,"229,234.00","229,234.00","141,048.00","88,186.00","11,581.00",--,"15,261.00",--,--,"26,842.00","61,344.00",--,--,--,"2,745.00","64,089.00","7,842.00","5,980.00",259,2,"1,671.00",-16,"15,738.00",--,--,"48,351.00",--,9.27,--,9.21,"5,217.24","5,251.69",,
,,2016,9/30/16,"215,639.00","215,639.00","131,376.00","84,263.00","10,045.00",--,"14,194.00",--,--,"24,239.00","60,024.00",--,--,--,"1,348.00","61,372.00","7,652.00","5,043.00",990,-138,"2,105.00",33,"15,685.00",--,--,"45,687.00",--,8.35,--,8.31,"5,470.82","5,500.28",,
,,2015,9/30/15,"233,715.00","233,715.00","140,089.00","93,626.00","8,067.00",--,"14,329.00",--,--,"22,396.00","71,230.00",--,--,--,"1,285.00","72,515.00","11,730.00","3,408.00","1,265.00",-220,"4,744.00","-1,806.00","19,121.00",--,--,"53,394.00",--,9.28,--,9.22,"5,753.42","5,793.07",,
,,2014,9/30/14,"182,795.00","182,795.00","112,258.00","70,537.00","6,041.00",--,"11,993.00",--,--,"18,034.00","52,503.00",--,--,--,980,"53,483.00","8,624.00","3,183.00",855,-178,"2,147.00",-658,"13,973.00",--,--,"39,510.00",--,6.49,--,6.45,"6,085.57","6,122.66",,
,,2013,9/30/13,"170,910.00","170,910.00","106,606.00","64,304.00","4,475.00",--,"10,830.00",--,--,"15,305.00","48,999.00",--,--,--,"1,156.00","50,155.00","9,334.00","1,878.00","1,084.00",-311,"1,559.00",-426,"13,118.00",--,--,"37,037.00",--,5.72,--,5.68,"6,477.32","6,521.63",,
,,2012,9/30/12,"156,508.00","156,508.00","87,846.00","68,662.00","3,381.00",--,"10,040.00",--,--,"13,421.00","55,241.00",--,--,--,522,"55,763.00","7,240.00","5,018.00","1,182.00",-123,"1,203.00",-490,"14,030.00",--,--,"41,733.00",--,6.38,--,6.31,"6,543.73","6,617.48",,
,,2011,9/30/11,"108,249.00","108,249.00","64,431.00","43,818.00","2,429.00",--,"7,599.00",--,--,"10,028.00","33,790.00",--,--,--,415,"34,205.00","3,884.00","2,998.00",762,37,769,-167,"8,283.00",--,--,"25,922.00",--,4.01,--,3.95,"6,469.81","6,556.52",,
,,2010,9/30/10,"65,225.00","65,225.00","39,541.00","25,684.00","1,782.00",--,"5,517.00",--,--,"7,299.00","18,385.00",--,--,--,155,"18,540.00","2,150.00","1,676.00",655,-115,282,-121,"4,527.00",--,--,"14,013.00",--,2.2,--,2.16,"6,366.23","6,472.98",,
,,2009,9/30/09,"42,905.00","42,905.00","25,683.00","17,222.00","1,333.00",--,"4,149.00",--,--,"5,482.00","11,740.00",--,--,--,326,"12,066.00","1,922.00","1,077.00",524,-2,345,-35,"3,831.00",--,--,"8,235.00",--,1.32,--,1.3,"6,251.11","6,349.04",,
,,2008,9/30/08,"37,491.00","37,491.00","24,294.00","13,197.00","1,109.00",--,"3,761.00",--,--,"4,870.00","8,327.00",--,--,--,620,"8,947.00","1,796.00",498,359,-25,275,-75,"2,828.00",--,--,"6,119.00",--,0.99,--,0.97,"6,171.14","6,314.97",,
,,2007,9/30/07,"24,578.00","24,578.00","16,426.00","8,152.00",782,--,"2,963.00",--,--,"3,745.00","4,407.00",--,--,--,599,"5,006.00","1,223.00",80,112,9,103,-16,"1,511.00",--,--,"3,495.00",--,0.58,--,0.56,"6,052.17","6,225.04",,
,,2006,9/30/06,"19,315.00","19,315.00","13,717.00","5,598.00",712,--,"2,433.00",--,--,"3,145.00","2,453.00",--,--,--,365,"2,818.00",619,56,56,14,101,-17,829,--,--,"1,989.00",--,0.34,--,0.32,"5,908.41","6,142.68",,
,,2005,9/30/05,"13,931.00","13,931.00","9,889.00","4,042.00",535,--,"1,864.00",--,--,"2,399.00","1,643.00",--,--,--,165,"1,808.00",305,144,66,-91,59,-3,480,--,--,"1,328.00",--,0.23,--,0.22,"5,659.07","5,998.15",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,